DateTime,AddedIPs,RemovedIPs
1592498521,1,21
1592499121,5,0
1592499722,2,20
1592500921,2,24
1592502122,18,16
1592502721,1,38
1592504521,6,48
1592505121,5,3
1592505721,4,25
1592506921,10,23
1592507521,2,0
1592508121,7,60
1592509321,5,0
1592510522,4,62
1592511721,4,34
1592512921,8,36
1592513521,2,0
1592514121,5,0
1592514721,14,31
1592515321,6,8
1592515921,8,0
1592517121,4,12
1592517721,3,0
1592518322,5,1
1592518921,6,26
1592520121,1,18
1592520721,9,0
1592521921,0,1
1592523722,4,19
1592524922,16,40
1592525521,4,0
1592526121,10,0
1592526721,2,104
1592527921,1,0
1592528521,13,17
1592529721,2,26
1592530321,10,0
1592530921,10,28
1592531521,9,4
1592533321,4,21
1592534521,2,44
1592535721,5,19
1592536921,3,36
1592538122,9,25
1592539321,10,17
1592540521,10,44
1592541121,6,8
1592541721,10,15
1592542921,1,20
1592544121,6,0
1592545321,2,7
1592545922,3,10
1592546522,7,2
1592547121,2,0
1592547722,7,0
1592548921,1,23
1592550121,3,15
1592550721,10,18
1592551922,3,10
1592552521,3,18
1592553721,1,0
1592554921,6,13
1592556122,9,36
1592557321,13,0
1592557921,14,41
1592558521,10,5
1592559121,3,24
1592559722,3,20
1592560321,1,16
1592560922,1,45
1592561521,1,20
1592562122,1,22
1592563321,11,0
1592563921,8,29
1592564521,5,23
1592565121,9,2
1592565721,0,17
1592566321,17,0
1592566921,2,20
1592568121,1,16
1592568721,4,0
1592569321,2,21
1592570521,3,19
1592571122,2,0
1592571722,6,15
1592572322,6,9
1592572921,6,0
1592573521,2,9
1592574121,5,0
1592574721,4,0
1592575321,1,1
1592575922,8,39
1592577121,8,22
1592577721,3,0
1592578321,11,6
1592578922,6,7
1592579521,2,21
1592580721,4,1
1592581321,5,0
1592583122,4,45
1592583721,1,16
1592584321,8,5
1592584921,6,48
1592586121,2,0
1592587322,1,0
1592587921,5,19
1592588521,1,25
1592589121,7,0
1592589722,4,57
1592590321,13,0
1592590921,4,9
1592592122,1,22
1592592721,0,26
1592593322,2,4
1592594521,2,28
1592595122,2,0
1592596321,6,14
1592597521,10,0
1592598122,2,0
1592598721,8,47
1592599322,12,0
1592600521,5,30
1592601721,4,71
1592602922,16,40
1592603521,8,0
1592604121,4,22
1592604722,4,6
1592605921,3,26
1592606521,1,30
1592607722,4,0
1592608921,1,40
1592609521,4,81
1592610721,8,0
1592612521,8,84
1592613721,1,0
1592614321,6,14
1592614922,7,19
1592615521,6,30
1592616721,2,17
1592617321,11,0
1592617921,13,14
1592618521,4,0
1592619721,2,59
1592620321,13,30
1592620921,3,0
1592622121,2,29
1592623321,4,12
1592624521,4,76
1592625122,4,5
1592626921,8,54
1592628121,3,46
1592629322,14,69
1592630522,14,21
1592631721,0,13
1592632922,3,36
1592633521,0,12
1592634121,2,20
1592634722,5,0
1592635922,4,20
1592636522,1,0
1592637721,0,19
1592638922,14,55
1592639522,1,22
1592640122,2,0
1592641321,6,22
1592642521,19,63
1592643121,16,28
1592643721,15,33
1592644322,3,8
1592644921,8,3
1592645521,0,14
1592646722,2,4
1592647321,0,42
1592647921,0,10
1592649121,1,19
1592649721,7,0
1592650321,6,25
1592650921,17,24
1592651522,9,0
1592652121,7,12
1592652722,1,6
1592653322,5,1
1592653921,11,0
1592654521,7,12
1592655721,7,30
1592656322,5,0
1592656921,4,45
1592657521,4,7
1592658121,3,0
1592659321,8,23
1592659921,7,6
1592660521,1,22
1592661721,2,24
1592662921,2,6
1592664121,15,11
1592665322,27,45
1592665921,3,17
1592666521,5,13
1592667122,8,0
1592667721,3,0
1592668321,5,15
1592668921,4,18
1592670122,17,29
1592670722,1,0
1592671321,3,46
1592671921,3,0
1592673121,6,23
1592674322,4,0
1592674922,4,12
1592676122,11,15
1592677321,8,22
1592677922,7,0
1592678522,0,18
1592679121,0,3
1592680321,4,44
1592680922,2,0
1592681521,16,29
1592682121,3,0
1592682721,5,61
1592683321,4,2
1592684521,14,26
1592685722,5,48
1592686322,1,1
1592686921,1,43
1592688121,7,29
1592688721,6,22
1592689322,3,0
1592690522,2,47
1592691721,8,86
1592692921,10,26
1592694121,2,7
1592694722,2,22
1592695921,16,6
1592696521,8,0
1592697121,4,22
1592697721,6,15
1592698922,1,12
1592700121,7,59
1592700722,2,0
1592701321,6,28
1592701921,3,33
1592703121,19,0
1592703722,1,0
1592704921,15,30
1592706121,3,9
1592706326,3,15
1592706721,4,0
1592707321,7,0
1592707921,2,37
1592709121,11,49
1592709722,3,55
1592710921,6,22
1592711521,7,59
1592712122,0,25
1592713321,2,0
1592714521,4,27
1592715721,0,50
1592716921,6,0
1592717522,17,10
1592718721,2,49
1592719321,3,0
1592720521,3,0
1592721121,3,2
1592721721,15,0
1592722922,2,17
1592724121,4,44
1592725321,2,5
1592726521,7,9
1592727721,13,39
1592728299,2,18
1592729031,18,0
1592729521,0,35
1592730122,12,0
1592730279,7,90
1592731321,6,30
1592732521,4,38
1592733079,3,0
1592733121,0,8
1592734922,4,0
