DateTime,AddedIPs,RemovedIPs
1592036419,10,20
1592038332,8,12
1592040249,15,24
1592042184,13,15
1592044088,15,13
1592047939,21,31
1592049851,22,12
1592051767,12,18
1592053702,10,17
1592055612,10,23
1592057532,13,16
1592059462,13,12
1592061383,18,5
1592063305,5,20
1592065211,26,16
1592067131,23,20
1592069062,16,41
1592070971,19,20
1592072887,20,34
1592074819,16,23
1592076734,14,30
1592078650,20,13
1592080579,13,7
1592082491,12,15
1592084410,6,15
1592086349,12,13
1592088251,16,11
1592090172,11,15
1592092105,14,14
1592094011,13,17
1592095930,12,12
1592097862,19,16
1592099771,15,15
1592101687,17,19
1592103622,18,13
1592105533,21,20
1592107453,14,15
1592111303,12,25
1592113208,32,21
1592115144,21,14
1592117052,12,19
1592118973,16,19
1592120903,10,20
1592122809,19,18
1592124728,31,12
1592126664,13,17
1592128569,32,13
1592130489,24,14
1592132422,33,16
1592134334,15,9
1592136500,18,20
1592138653,17,12
1592140596,18,10
1592142989,45,30
1592144891,19,0
1592146839,4,4
1592148732,2,14
1592150895,3,10
1592154741,19,38
1592156648,19,12
1592158567,19,17
1592160499,21,16
1592162404,12,17
1592164326,12,9
1592166262,20,15
1592168165,13,14
1592170088,17,13
1592173932,29,20
1592176097,14,11
1592178015,27,13
1592179943,18,10
1592181850,15,15
1592183788,19,6
1592185689,18,11
1592187607,16,12
1592189542,17,20
1592191450,26,14
1592193370,12,11
1592195303,23,18
1592197212,30,11
1592201312,15,33
1592203207,17,13
1592205127,26,17
1592207064,20,11
1592208965,7,16
1592210887,28,12
1592212820,14,10
1592214730,17,12
1592216648,16,20
1592218581,26,8
1592220489,16,29
1592222413,28,35
1592224347,18,10
1592226512,18,0
1592228409,24,14
1592230328,17,31
1592232563,10,26
1592236565,24,88
1592238484,22,39
1592240413,32,18
1592242347,33,18
1592244250,28,33
1592246167,30,25
1592250005,32,60
1592252171,37,26
1592254088,30,36
1592256021,23,10
1592257931,23,19
1592259847,14,21
1592261782,21,25
1592263685,20,20
1592265615,16,21
1592267549,19,20
1592269453,26,20
1592271367,20,15
1592273310,13,12
1592275208,17,12
1592277129,16,22
1592279063,18,14
1592280969,18,19
1592282884,19,18
1592284825,10,12
1592286726,16,11
1592288668,15,13
1592290565,10,26
1592292490,20,22
1592294435,16,17
1592296332,23,14
1592298496,17,10
1592300410,7,13
1592302344,13,11
1592304248,8,15
1592306166,12,13
1592308100,11,10
1592310007,6,15
1592311925,19,0
1592313864,14,17
1592315766,34,22
1592317935,18,14
1592319856,14,3
1592321782,19,23
1592323696,15,19
1592325607,31,10
1592327545,12,8
1592329449,16,30
1592331367,20,24
1592333285,18,29
1592335210,30,29
1592337124,33,11
1592339048,20,36
1592340980,28,19
1592342886,16,37
1592344817,15,34
1592346743,27,0
1592348649,26,0
1592350568,22,31
1592352761,16,26
1592354650,24,32
1592356565,26,24
1592358508,16,26
1592360406,8,25
1592362327,14,29
1592364272,14,28
1592366165,12,26
1592368084,20,30
1592370041,16,25
1592371932,8,31
1592373927,10,26
1592376033,12,10
1592377931,13,8
1592379848,21,0
1592381791,6,7
1592383686,8,13
1592385632,11,23
1592387529,16,13
1592389452,14,15
1592391391,19,22
1592393289,9,21
1592395216,17,39
1592397136,12,27
1592399050,17,40
1592400992,18,21
1592402891,16,17
1592404806,18,21
1592406755,17,18
1592408646,23,16
1592410810,25,30
1592412728,18,7
1592414673,17,41
1592416567,21,40
1592418486,18,33
1592420438,29,36
1592422334,28,28
1592424249,21,31
1592426191,37,35
1592428094,28,32
1592430277,21,27
1592432170,20,16
1592434087,26,19
1592436033,19,28
1592437930,16,25
1592439848,13,45
1592441781,18,24
1592443685,15,35
1592445615,23,26
1592447544,21,0
1592449711,10,32
1592451607,14,0
1592455466,15,80
1592457370,17,31
1592459286,17,0
1592461209,19,26
1592463126,17,15
1592465062,24,42
1592466966,24,0
1592468885,11,11
1592470838,28,38
1592472730,26,0
1592474894,7,66
1592476811,30,20
1592478742,10,8
1592480648,19,25
1592482566,20,17
1592484501,17,13
1592486406,13,21
1592488325,19,19
1592490265,10,13
1592492196,27,25
1592494088,11,18
1592496026,11,18
1592497932,22,0
1592500094,23,69
1592502008,25,21
1592503941,18,26
1592505847,21,33
1592507768,18,28
1592509702,16,33
1592511606,13,15
1592513627,15,14
1592515471,10,15
1592517366,8,23
1592519582,16,20
1592521753,12,22
1592523607,21,22
1592525791,16,17
1592527699,18,24
1592529609,13,0
1592531544,9,18
1592533449,16,16
1592535370,19,24
1592537303,15,10
1592539254,13,18
1592543057,14,24
1592545032,12,21
1592546990,16,15
1592548811,11,16
1592550731,10,28
1592552671,18,24
1592554571,24,20
1592556543,23,15
1592558431,15,14
1592560333,16,17
1592562257,12,20
1592564185,12,22
1592566091,10,18
1592568094,12,15
1592569951,18,13
1592571851,10,21
1592573771,19,13
1592575713,19,22
1592577617,15,3
1592579536,20,19
1592581472,15,18
1592583370,19,0
1592585289,18,27
1592587226,18,30
1592589134,21,15
1592591049,12,15
1592592989,22,19
1592594889,20,12
1592596814,16,24
1592598754,20,0
1592600652,22,24
1592602571,31,21
1592604517,24,22
1592606409,19,26
1592608333,23,0
1592610278,16,15
1592612174,10,10
1592617931,12,43
1592620098,15,21
1592622035,10,21
1592623932,16,0
1592629949,17,47
1592631849,11,19
1592633796,6,18
1592637609,11,32
1592639553,5,15
1592641450,15,11
1592643369,13,10
1592645306,16,13
1592647211,10,12
1592649149,21,19
1592651056,16,0
1592652972,21,25
1592655157,13,24
1592659273,23,16
1592663078,17,23
1592664979,12,8
1592667209,11,19
1592669068,11,4
1592670967,10,26
1592672891,8,24
1592674825,16,16
1592676737,21,19
1592678652,20,18
1592680585,7,17
1592682489,23,20
1592684424,23,14
1592688250,19,19
1592690185,20,6
1592692089,16,11
1592694019,5,19
1592695947,13,7
1592700011,13,29
1592701932,15,19
1592703869,18,20
1592705772,10,14
1592707691,11,19
1592712112,10,36
1592713943,10,14
1592715852,16,0
1592717798,16,8
1592719694,7,25
1592721608,19,20
1592723551,20,18
1592725451,9,17
1592727367,3,12
1592729311,9,24
1592731210,11,35
1592733131,12,12
1592735071,12,33
